,,Anatomy,Boomilever,Crime Busters,Disease Detectives,Dynamic Planet,Experimental Design,Food Science,Forestry,Helicopters,Heredity,Keep the Heat,Meteorology,Metric Mastery,Mission Possible,Mousetrap Vehicle,Reach for the Stars,Road Scholar,Rocks and Minerals,Rotor Egg Drop,Shock Value,Sounds of Music,Water Quality,Write It Do It,Green Generation (Trial),Invasive Species (Trial)
1,Winston Churchill M.S. (CA),21,3,11,30,2,8,13,5,36,10,14,15,14,10,17,1,30,12,12,12,5,13,33,30,4
2,Muscatel M.S. (CA),4,34,16,2,22,2,30,12,17,4,11,3,8,13,36,19,9,13,46,2,35,1,13,19,53
3,Carnage M.S. (NC),22,33,37,19,24,33,20,10,42,12,45,18,6,49,39,37,55,10,27,30,41,28,8,61,3
4,Piedmont M.S. (NC),39,41,2,6,27,30,3,27,21,24,33,23,15,40,15,14,32,19,53,25,19,22,12,36,44
5,Meads Mill M.S. (MI),6,5,15,20,16,1,45,2,6,2,27,14,10,5,56,20,13,14,2,10,4,3,31,6,15
6,Lakeshore M.S. (MI),23,6,14,29,32,28,8,11,32,23,19,34,4,39,20,13,26,15,3,34,10,17,44,26,34
7,Paul J. Gelinas J.H.S. (NY),14,21,18,5,19,7,19,14,8,16,24,16,30,32,9,21,14,1,21,13,15,11,3,3,52
8,Eagle Hill M.S. (NY),8,36,5,4,9,5,21,8,37,11,20,4,28,29,30,8,3,11,54,6,7,27,28,5,8
9,Daniel Wright J.H.S. (IL),5,1,4,1,10,3,1,3,16,1,6,13,9,2,5,18,24,8,5,1,1,18,17,24,7
10,Marie Murphy M.S. (IL),7,4,1,18,4,25,4,35,1,5,7,6,16,22,12,2,8,21,15,16,2,12,9,9,61
11,Shady Side Academy M.S. (PA),19,49,3,25,23,24,9,18,19,29,9,7,7,31,10,27,1,31,8,9,28,10,4,25,32
12,Strath Haven M.S. (PA),26,16,7,16,7,42,11,20,12,18,32,8,52,21,14,3,19,9,18,22,11,14,43,27,17
