,,Anatomy and Physiology,Astronomy,Boomilever,Chemistry Lab,Circuit Lab,Designer Genes,Disease Detectives,Dynamic Planet,Elastic Launch Glider,Experimental Design,Fermi Questions,Forensics,Forestry,Gravity Vehicle,MagLev,Materials Science,Remote Sensing,Robot Arm,Rocks and Minerals,Tech Problem Solving,Thermodynamics,Water Quality,Write It Do It,Geologic Mapping (Trial),Green Generation (Trial)
1,Ward Melville (NY),10,22,12,11,8,22,8,5,13,2,32,12,2,5,13,24,50,10,8,4,15,21,3,5,8
2,Fayetteville-Manlius H.S. (NY),24,8,11,12,20,32,12,29,18,48,5,6,19,6,24,32,13,5,5,7,5,39,8,1,32
3,Palo Alto H.S. (CA),8,31,23,27,10,41,28,15,39,42,13,15,1,41,14,3,5,26,10,26,16,4,59,61,33
4,Troy H.S. (CA),6,5,19,1,9,8,6,1,22,29,14,9,4,4,4,8,22,17,2,18,14,10,16,2,7
5,Raleigh Charter H.S. (NC),18,20,18,25,16,37,14,22,29,10,3,35,23,9,18,37,35,41,39,47,29,19,7,25,39
6,William G. Enloe H.S. (NC),2,19,40,9,22,7,17,19,30,43,37,30,10,16,29,10,11,32,27,57,54,6,56,61,61
7,Grand Haven H.S. (MI),5,7,3,28,21,17,23,4,24,7,19,1,16,15,30,19,4,16,14,35,43,15,33,16,19
8,Troy H.S. (MI),32,1,26,2,35,25,16,51,19,23,35,20,47,27,19,4,25,55,20,32,60,33,12,61,3
9,Harriton H.S. (PA),4,4,4,32,1,2,20,20,2,34,6,5,11,3,1,16,26,1,19,1,1,28,5,41,1
10,Penncrest H.S. (PA),17,10,10,51,7,1,24,44,3,21,26,32,20,31,20,21,7,12,17,53,27,17,15,42,41
11,Adlai E. Stevenson H.S. (IL),16,11,43,17,12,34,9,13,31,12,23,13,5,8,9,22,9,7,13,27,12,16,30,32,36
12,New Trier H.S. (IL),7,3,6,15,6,21,21,17,8,35,10,16,8,14,7,29,53,54,18,8,9,3,25,8,13
13,Solon H.S. (OH),3,2,8,13,3,4,5,3,14,5,9,3,7,10,2,7,8,23,21,5,2,11,10,6,9
14,Centerville H.S. (OH),13,17,28,36,5,5,3,14,7,9,2,2,3,11,3,2,34,2,3,15,10,35,4,4,21
15,Brookwood H.S. (GA),11,29,24,7,25,6,29,40,27,25,34,17,17,1,15,9,33,6,33,16,24,50,51,40,46
16,"Gwinnett School of Math, Sci, Tech (GA)",21,30,56,3,14,40,34,41,16,20,11,21,35,56,42,41,39,40,24,17,38,25,22,17,23
17,William P. Clements H.S. (TX),27,33,20,18,43,23,19,36,26,17,38,44,31,30,12,25,18,38,42,23,32,20,40,36,28
18,Seven Lakes H.S. (TX),28,12,7,14,4,18,2,39,10,13,4,24,26,18,10,1,16,8,7,24,11,27,23,13,4
19,Ladue Horton Watkins H.S. (MO),29,40,41,21,13,10,4,23,53,28,7,18,28,59,57,6,30,43,29,28,22,46,36,35,20
20,Pembroke Hill H.S. (MO),35,38,36,38,46,20,27,35,51,22,25,37,24,55,27,33,20,13,15,9,37,30,55,44,34
