,,Anatomy,Boomilever,Can't Judge A Powder,Crime Busters,Disease Detectives,Dynamic Planet,Entomology,Experimental Design,Helicopters,Heredity,Meteorology,Metric Mastery,Road Scholar,Robo-Cross,Rocks and Minerals,Rotor Egg Drop,Shock Value,Simple Machines,Solar System,Sounds of Music,Water Quality,Wheeled Vehicle,Write It Do It,Airjectory (Trial),Bridge Building (Trial)
1,Muscatel M.S. (CA),8,39,3,2,11,2,2,25,7,2,13,44,3,19,1,15,1,9,31,35,21,6,17,6,24
2,Winston Churchill M.S. (CA),18,7,1,8,19,1,4,24,8,4,16,11,6,5,4,7,3,19,9,12,3,2,25,11,9
3,Piedmont IB M.S. (NC),3,16,26,12,28,9,22,15,33,34,4,42,15,18,19,16,16,1,11,10,5,18,33,22,34
4,Jay M. Robinson M.S. (NC),26,11,53,7,16,3,29,17,34,7,11,33,18,56,37,30,35,8,30,9,34,23,15,20,35
5,Meads Mill M.S. (MI),5,13,4,1,5,16,3,3,1,9,5,18,1,6,8,53,6,7,4,7,2,59,10,2,25
6,Lakeshore M.S. (MI),23,22,15,28,9,15,35,39,29,27,23,35,21,32,16,14,36,28,25,34,8,22,16,61,5
7,Paul Gelinas J.H.S. (NY),12,35,22,9,1,21,9,20,5,3,19,30,4,47,6,40,26,22,2,22,25,34,7,3,41
8,Eagle Hill (NY),20,21,31,3,30,10,11,30,38,13,8,17,12,15,3,55,31,35,7,11,20,8,12,16,61
9,Science & Arts Academy (IL),31,32,8,11,25,23,16,37,18,46,40,3,11,17,30,5,9,26,18,33,32,5,39,61,20
10,Daniel Wright J.H.S. (IL),6,3,7,10,4,6,12,1,25,1,7,7,9,25,12,11,25,32,5,1,10,11,3,1,19
11,Solon M.S. (OH),9,9,9,22,13,5,1,5,6,10,2,1,5,43,9,58,2,10,6,2,16,4,6,61,15
12,Magsig M.S. (OH),10,47,19,16,3,38,14,28,17,8,12,16,8,16,13,17,8,13,16,8,19,9,11,17,33
13,Shady Side Academy M.S. (PA),15,25,24,36,36,52,30,23,9,33,18,2,13,11,25,4,14,4,37,14,37,12,14,18,12
14,Springhouse M.S. (PA),7,36,2,5,35,20,41,10,58,24,22,19,20,9,21,22,23,24,23,42,14,29,9,61,61
15,Riverwood M.S. (TX),48,14,5,19,41,8,23,44,3,41,6,38,7,2,10,1,50,54,8,39,27,15,23,61,40
16,Beckendorff J.H.S. (TX),27,12,6,4,8,11,26,19,13,5,1,6,14,1,17,6,10,2,3,3,7,1,5,19,13
17,Ladue M.S. (MO),17,19,13,15,24,19,8,13,20,15,27,8,23,23,35,10,17,6,29,6,9,14,34,13,6
18,Pembroke Hill M.S. (MO),11,31,38,38,6,13,7,35,26,22,3,5,16,4,14,50,12,25,15,18,6,10,37,61,61
19,Dodgen M.S. (GA),24,24,30,30,20,7,31,41,12,45,29,4,17,22,27,18,20,17,17,26,26,28,59,7,4
20,J. C. Booth M.S. (GA),30,5,35,21,23,27,15,14,2,14,21,23,27,24,18,3,37,33,21,23,11,32,31,61,1
21,Orlando Science School (FL),38,54,39,42,40,36,56,49,48,42,45,21,52,61,56,39,48,31,48,56,28,53,8,61,61
22,Archimedean Middle Conservatory (FL),32,56,48,46,60,59,50,27,49,47,43,32,48,58,47,51,18,21,20,48,31,58,48,61,39
23,Wilbur Wright M.S. (IN),51,48,49,49,18,37,10,16,41,20,35,48,50,49,38,46,24,58,38,41,13,47,49,60,28
