,,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Compound Machines,Designer Genes,Disease Detectives,Dynamic Planet,Elastic Launch Glider,Entomology,Experimental Design,Forensics,Geologic Mapping,MagLev,Materials Science,Mission Possible,Rocks and Minerals,Scrambler,Tech Problem Solving,Water Quality,Write It Do It,Hydrogeology (Trial),Game On (Trial)
1,Fayetteville-Manlius H.S. (NY),31,11,16,5,30,6,28,18,7,13,10,11,21,8,8,16,15,7,25,13,5,8,7,19,20
2,Columbia H.S. (NY),57,16,33,2,6,15,10,14,31,4,14,31,28,4,28,11,4,12,16,28,37,24,43,21,16
3,Troy H.S. (CA),1,6,9,14,12,1,1,13,2,1,17,16,30,9,3,1,25,3,9,39,6,3,3,15,31
4,Mira Loma H.S. (CA),12,1,8,16,13,2,5,17,25,14,3,12,7,18,11,12,30,5,4,2,27,34,22,11,26
5,William G. Enloe H.S. (NC),3,35,17,44,15,16,17,24,6,31,20,6,13,57,7,17,32,21,20,54,48,4,14,10,18
6,Raleigh Charter H.S. (NC),6,12,26,50,54,42,37,37,24,38,9,28,8,33,15,27,52,43,46,23,14,17,32,61,32
7,Grand Haven H.S. (MI),18,7,5,35,44,23,16,38,11,6,21,9,17,10,6,36,10,1,18,7,8,9,5,27,15
8,Northville H.S. (MI),14,28,24,13,28,18,15,15,10,10,51,1,14,16,19,21,50,8,12,19,40,37,6,23,23
9,Harriton H.S. (PA),7,4,3,49,18,5,3,21,17,26,1,18,23,2,4,14,9,6,3,3,17,35,11,61,61
10,Penncrest H.S. (PA),10,17,7,22,3,9,9,5,3,19,22,21,2,14,13,4,42,28,17,34,11,10,23,20,3
11,New Trier (IL),16,5,15,4,36,35,20,19,22,12,2,20,50,12,25,20,31,4,13,10,10,30,1,26,4
12,Adlai E. Stevenson H.S. (IL),15,30,2,15,19,22,21,11,5,17,12,8,10,23,32,3,21,20,10,8,16,28,37,7,21
13,Solon H.S. (OH),40,10,13,11,11,4,11,8,4,22,19,5,16,11,5,10,11,16,5,14,1,6,49,61,61
14,Centerville H.S. (OH),39,9,38,27,23,3,7,32,1,9,13,30,24,1,9,23,18,17,21,15,2,25,16,61,61
15,Brookwood H.S. (GA),23,52,19,20,26,29,25,28,20,39,49,33,33,3,48,34,12,36,11,11,19,33,50,61,61
16,Gwinnett School of Math. Sci. and Tech. (GA),26,43,22,26,10,24,27,7,32,24,50,26,49,24,37,28,20,30,26,33,30,19,29,61,61
17,Boca Raton Community H.S.  (FL),9,23,12,19,34,14,8,12,27,30,23,37,12,42,34,15,43,41,48,22,34,5,35,13,14
18,Archimedean Upper Conservatory (FL),51,38,58,30,42,54,47,9,42,29,33,39,42,56,29,40,17,50,35,45,9,42,48,61,61
19,William P. Clements H.S. (TX),32,18,20,12,2,28,32,22,15,8,25,2,5,34,1,5,23,48,1,29,24,22,13,61,61
20,Seven Lakes H.S. (TX),4,8,14,1,4,7,12,34,9,15,48,7,1,22,26,2,5,31,8,17,42,2,4,12,5
21,Pembroke Hill H.S. (MO),20,32,51,38,45,19,4,43,19,7,31,29,27,40,14,32,33,32,23,55,43,14,17,16,10
22,Ladue Horton Watkins H.S. (MO),45,37,42,6,21,31,39,2,58,52,59,44,51,19,52,57,7,49,38,58,20,41,34,61,61
23,Whiting H.S. (IN),48,47,11,46,41,39,26,53,45,37,4,53,31,5,42,22,39,46,30,1,35,49,25,22,11
24,Munster H.S. (IN),21,3,32,29,16,13,14,1,14,2,18,4,36,6,20,47,16,18,27,20,7,46,31,4,17
25,Menomonie H.S. (WI),8,29,10,10,51,36,29,25,35,46,32,10,46,13,33,6,45,47,49,12,53,23,2,5,30
26,Bismarck H.S. (ND),33,53,35,32,56,32,40,59,54,41,26,13,52,20,57,35,57,22,19,43,56,48,45,29,61
27,Camas H.S. (WA),30,24,18,39,31,41,18,26,12,11,5,36,19,30,27,13,29,2,15,35,33,13,41,9,7
28,Mounds View H.S. (MN),2,15,6,7,8,11,13,16,26,5,15,25,4,7,16,7,19,13,14,9,3,12,9,25,9
29,West Windsor Plainsboro South (NJ),5,2,27,34,9,10,6,10,8,3,41,17,20,15,18,46,1,10,7,32,4,1,46,61,61
30,Olathe North H.S. (KS),34,14,40,8,14,30,2,33,37,16,28,51,22,49,12,48,34,55,6,25,13,15,18,17,29
31,Montgomery Bell Academy (TN),56,56,37,40,1,34,59,50,47,50,16,50,44,37,55,50,35,26,52,41,21,20,19,61,61
32,Russell Independent H.S. (KY),24,40,46,42,46,26,33,4,36,21,11,22,39,17,36,9,14,11,41,6,29,11,12,14,13
33,Auburn H.S. (AL),36,42,55,61,27,47,53,60,21,56,39,59,55,55,58,49,27,14,36,37,12,32,21,61,61
34,Charter School of Wilmington (DE),13,25,1,37,17,12,36,36,30,32,57,23,18,38,38,43,2,35,45,4,52,7,8,61,1
35,Fossil Ridge H.S. (CO),28,44,43,36,25,21,23,29,48,48,27,45,41,54,22,25,36,19,42,42,39,31,42,61,61
36,Thomas Jefferson School for Sci. & Tech. (VA),17,26,21,25,7,45,45,3,16,18,29,15,9,29,24,33,28,34,28,48,23,36,47,3,33
37,Lincoln Southwest H.S. (NE),38,21,49,47,40,44,46,44,38,40,6,43,15,44,40,52,22,39,39,30,45,43,40,18,27
38,Helena H.S. (MT),19,41,36,55,55,43,56,55,55,25,40,14,48,32,45,51,56,57,40,53,46,47,38,61,61
39,Albuquerque Area Home Schoolers (NM),55,20,34,23,48,33,30,30,23,43,54,40,11,31,17,18,8,15,2,21,38,45,30,6,2
40,Acton-Boxborough Regional H.S. (MA),29,22,31,53,20,8,35,20,13,28,42,35,47,39,31,29,26,40,33,52,18,40,26,2,28
41,Hopkins School (CT),41,36,47,3,29,37,19,41,43,47,36,3,53,35,35,26,6,9,29,31,25,18,33,24,6
