,,Air Trajectory,Anatomy and Physiology,Bio-Process Lab,Bottle Rocket,Bridge Building,Can't Judge A Powder,Crave the Wave,Crime Busters,Disease Detectives,Dynamic Planet,Elastic Launched Gliders,Entomology,Experimental Design,Fossils,Green Generation,Meteorology,Picture This,Road Scholar,Robo-Cross,Simple Machines,Solar System,Wheeled Vehicle,Write It Do It,Sumobots (Trial),GPS (Trial),Roller Coaster (Trial),Science Bowl (Trial)
1,Muscatel M.S. (CA),45,25,5,1,3,4,17,1,16,23,9,6,6,14,3,8,12,1,24,36,13,25,30,5,61,2,28
2,Winston Churchill M.S. (CA),38,8,7,20,9,20,2,27,20,9,24,5,7,3,7,5,16,4,18,4,19,3,10,16,60,7,24
3,Piedmont IB M.S. (NC),3,19,10,7,12,39,10,4,15,4,25,28,5,24,4,3,29,11,2,1,1,38,2,61,61,19,3
4,JM Alexander M.S. (NC),30,14,25,24,13,27,38,31,32,8,12,38,27,28,15,18,30,42,29,40,8,26,59,61,18,61,21
5,Meads Mill M.S.  (MI),10,10,18,6,14,25,18,14,3,1,5,9,2,7,23,7,3,8,50,35,17,14,29,26,60,24,19
6,Lakeshore M.S. (MI),4,32,20,14,5,21,27,16,11,12,10,19,22,23,18,14,22,24,16,19,27,10,24,11,14,13,8
7,Paul J. Gelinas J.H.S. (NY),8,11,11,28,36,12,20,12,4,10,4,1,21,11,29,1,34,3,21,24,12,32,3,1,8,6,2
8,Eagle Hill M.S. (NY),9,18,19,10,42,2,41,8,40,14,29,34,4,13,10,11,13,2,45,26,4,17,32,61,61,61,40
9,Daniel Wright J.H.S. (IL),14,16,13,54,1,8,12,3,1,29,3,18,1,4,17,49,9,5,12,10,9,2,9,19,60,4,8
10,Marie Murphy (IL),27,17,2,12,29,38,24,5,6,13,2,4,15,8,5,16,21,7,5,12,14,9,17,61,61,61,40
11,Springhouse M.S. (PA),2,4,1,30,16,17,7,11,37,20,11,23,10,34,1,9,8,20,14,7,30,44,6,61,61,61,40
12,Shady Side Academy M.S. (PA),7,30,16,25,18,9,30,19,34,16,17,12,26,27,33,6,19,22,7,8,21,49,18,15,7,61,34
