,,Air Trajectory,Anatomy and Physiology,Astronomy,Bridge Building,Bungee Drop,Cell Biology,Chemistry Lab,Compound Machines,Disease Detectives,Dynamic Planet,Entomology,Experimental Design,Forensics,Fossils,Geologic Mapping,Green Generation,It's About Time,Mission Possible,Protein Modeling,Scrambler,Tech Problem Solving,Wright Stuff,Write It Do It,"Endangered, Exotic, Extinct (Trial)",Hydrogeology (Trial),Science Bowl (Trial),Game On (Trial)
1,Columbia H.S. (NY),17,7,10,38,5,41,4,31,11,1,36,31,27,24,8,7,13,33,14,29,15,34,3,61,24,24,2
2,Fayetteville-Manlius H.S. (NY),28,20,7,17,7,19,14,10,6,28,16,8,14,4,18,6,15,13,3,3,8,40,17,61,31,36,10
3,Troy H.S. (CA),3,4,14,5,22,3,1,6,9,11,5,9,11,5,9,9,3,24,15,8,9,8,20,61,23,17,12
4,Mira Loma H.S. (CA),13,5,9,8,28,1,12,16,21,4,19,10,19,3,6,12,10,11,5,11,2,2,14,61,7,6,18
5,Enloe H.S. (NC),9,8,33,36,47,11,21,51,14,10,24,18,42,15,11,14,28,41,9,47,20,38,4,61,61,36,61
6,N.C. School of Science and Math (NC),45,25,19,60,51,17,3,14,25,38,31,6,12,23,36,5,36,46,41,40,6,48,41,61,19,20,61
7,Northville H.S. (MI),48,2,17,18,25,12,20,45,7,14,15,28,9,17,14,8,17,8,13,5,30,1,10,61,16,4,17
8,Grand Haven H.S. (MI),18,21,12,22,2,15,40,27,15,7,10,13,6,10,32,3,25,16,20,9,10,4,5,61,4,25,61
9,Harriton H.S. (PA),10,15,1,10,53,23,22,8,10,5,21,24,2,20,7,17,8,7,1,12,25,17,22,61,61,33,15
10,Bayard Rustin H.S. (PA),4,23,13,32,26,50,9,9,27,15,29,12,17,14,30,41,12,17,32,34,11,22,36,61,21,16,23
11,Adlai E. Stevenson H.S. (IL),5,19,21,1,36,29,38,11,2,30,7,1,10,2,15,29,14,4,17,2,23,26,30,61,13,36,4
12,New Trier (IL),31,18,3,16,8,14,19,3,19,33,13,33,16,7,24,27,6,18,19,35,56,15,35,61,11,14,7
13,Centerville H.S. (OH),27,14,2,14,34,10,13,18,1,12,4,2,13,11,4,11,5,6,25,22,21,13,1,61,15,17,1
14,Mentor HS (OH),21,1,30,6,1,18,11,5,5,37,23,52,28,29,34,22,9,2,18,38,14,21,38,61,30,8,61
15,Brookwood H.S. (GA),8,10,44,26,29,44,46,17,24,29,33,22,5,33,21,34,20,45,23,10,49,33,37,61,32,36,61
16,Chattahoochee H.S. (GA),61,28,46,27,21,36,39,13,50,51,8,39,34,39,25,30,33,9,49,36,37,20,19,61,61,17,60
17,Boca Raton Community H.S. (FL),29,16,8,4,27,53,15,19,38,45,42,25,22,36,22,18,4,20,11,17,3,25,46,61,61,36,61
18,Archimedean Upper Conservatory (FL),22,56,42,28,55,47,30,46,40,47,32,50,41,32,46,56,34,29,29,21,24,37,53,61,61,8,32
19,Liberal Arts and Science Academy (TX),14,24,16,24,18,4,24,7,31,3,6,23,4,6,2,2,1,5,2,1,16,31,13,61,17,27,8
20,Seven Lakes H.S. (TX),39,9,18,9,4,13,16,29,4,2,3,34,1,9,3,1,38,21,4,37,55,7,31,61,1,20,3
21,Pembroke Hill School (MO),38,43,49,29,43,59,49,43,43,25,30,26,44,13,13,28,19,28,36,23,22,16,27,61,25,36,61
22,Ladue Horton Watkins H.S. (MO),44,27,50,31,41,27,17,24,33,35,45,35,25,26,37,51,43,1,37,55,48,44,57,61,61,36,61
23,Munster H.S. (IN),7,6,5,12,16,7,8,25,3,6,2,11,8,18,5,13,27,32,34,6,7,47,15,61,9,4,20
24,Menomonie H.S. (WI),41,11,35,35,9,48,23,39,18,16,44,15,20,25,38,23,32,10,28,15,32,35,12,61,19,28,13
25,Lincoln Southwest H.S. (NE),30,34,4,7,12,35,6,33,23,43,47,32,24,40,43,37,23,27,45,19,12,6,11,61,7,36,28
26,Farragut H.S. (TN),54,55,43,54,48,22,26,35,45,26,53,58,53,49,57,49,54,58,59,61,43,61,52,61,38,7,24
27,Mounds View H.S. (MN),2,3,23,11,37,8,5,2,17,21,20,4,3,16,10,10,7,12,8,4,28,14,24,61,27,8,9
28,Camas H.S. (WA),11,38,20,33,42,31,44,20,12,42,17,42,49,31,39,25,49,3,30,13,26,5,59,61,4,31,5
29,Auburn H.S. (AL),24,17,41,3,44,9,10,53,22,22,11,7,38,27,49,46,57,26,21,16,59,43,48,61,26,28,27
30,West Windsor-Plainsboro H.S. North (NJ),15,12,6,13,49,6,7,1,26,17,18,40,29,34,20,4,2,23,26,14,41,11,49,61,3,20,6
31,Bismarck H.S. (ND),55,42,56,15,10,24,56,37,57,32,26,47,23,38,52,42,47,37,40,24,46,51,32,61,37,35,61
32,Russell H.S. (KY),6,39,34,37,19,28,43,38,29,49,28,41,21,21,28,24,16,15,22,7,4,19,23,61,35,30,25
33,Poudre H.S. (CO),1,47,29,21,6,21,54,28,13,23,40,53,35,22,42,55,11,30,33,18,42,36,8,61,34,25,14
34,Langley H.S. (VA),33,51,25,42,58,16,33,23,35,19,25,29,36,41,41,53,37,25,12,46,19,27,33,61,29,8,33
35,Olathe North H.S. (KS),53,40,15,50,24,25,29,15,48,20,51,48,30,42,12,39,52,22,51,41,1,24,43,61,61,36,29
36,Charter School of Wilmington (DE),35,13,37,2,3,2,42,22,32,53,27,5,40,30,19,16,31,51,7,33,35,9,26,61,18,36,26
37,Acton-Boxborough Regional H.S. (MA),16,22,36,20,13,5,2,4,28,9,14,3,7,8,16,15,18,50,10,48,13,18,6,61,4,12,22
38,Fergus H.S. (MT),51,44,57,39,32,56,57,59,47,18,41,54,32,44,55,58,41,53,54,32,47,3,40,61,61,36,61
39,Albuquerque Academy (NM),26,59,45,23,20,20,25,54,42,46,48,36,15,52,17,19,51,19,24,20,31,39,9,61,61,36,61
