,,Anatomy and Physiology,Astronomy,Cell Biology,Chemistry Lab,Disease Detectives,Dynamic Planet,Experimental Design,Forensics,Fossils,Game On,GeoLogic Mapping,Green Generation,Hydrogeology,Invasive Species,It's About Time,Protein Modeling,Wind Power,Write It Do It,Air Trajectory,Bridge Building,Electric Vehicle,Robot Arm,Wright Stuff,Code Busters (Trial),Mystery Design (Trial),Remote Sensing (Trial)
4,Mira Loma H.S. (CA),5,5,3,22,12,6,3,28,7,32,3,5,14,11,4,5,8,16,4,7,30,1,3,44,6,3
11,Harriton H.S. (PA),2,3,18,4,10,10,27,1,17,9,29,3,5,1,1,3,14,23,7,14,6,2,26,5,39,9
20,Seven Lakes H.S. (TX),11,1,7,2,7,1,33,7,4,5,1,16,12,12,42,4,16,4,16,8,55,7,1,19,8,22
3,Troy H.S. (CA),16,6,5,3,2,25,8,13,18,8,5,2,3,14,2,14,12,53,8,5,3,5,49,6,1,1
14,Centerville H.S. (OH),10,20,10,11,25,3,22,8,5,3,24,20,1,16,3,19,21,3,17,17,13,4,20,12,16,11
9,Adlai E. Stevenson H.S. (IL),15,19,22,9,6,30,6,3,13,31,12,11,2,3,29,7,15,7,19,1,8,15,14,31,2,13
13,Solon H.S. (OH),19,9,19,21,18,13,15,29,15,24,2,1,16,8,13,6,6,18,14,18,4,11,2,4,35,15
7,Northville H.S. (MI),7,24,8,8,4,12,4,5,16,19,23,13,10,6,5,32,19,9,30,12,20,20,4,61,61,61
19,Liberal Arts and Science Academy (TX),12,14,15,29,28,9,20,11,3,14,9,8,9,5,22,11,17,20,11,2,11,27,12,22,24,20
28,Mounds View H.S. (MN),21,12,2,6,3,22,17,14,11,29,14,14,27,7,8,13,1,48,9,15,1,21,17,30,38,4
30,West Windsor-Plainsboro H.S. North (NJ),1,8,9,19,13,17,13,22,12,1,15,9,18,2,9,1,30,32,54,20,22,25,32,3,23,2
37,Acton-Boxborough Regional H.S. (MA),20,21,6,1,16,21,37,2,14,23,8,46,32,9,15,27,23,19,3,23,12,6,34,24,42,6
12,Bayard Rustin H.S. (PA),33,11,16,12,40,5,18,21,2,15,21,10,40,48,12,17,7,37,6,34,10,10,16,38,20,17
10,New Trier H.S. (IL),14,2,23,23,9,36,10,26,10,26,10,6,29,20,11,24,9,42,26,4,19,12,60,13,61,18
16,Chattahoochee H.S. (GA),28,17,26,32,32,23,23,57,6,7,26,22,6,38,6,12,3,54,12,9,14,9,31,8,61,14
1,Columbia H.S. (NY),8,25,12,36,1,7,7,15,19,10,17,17,45,25,18,25,31,2,23,40,43,55,24,9,21,10
35,Fossil Ridge H.S. (CO),17,43,30,42,36,37,5,12,28,12,11,15,17,17,24,20,13,8,20,42,5,29,30,43,9,19
23,Carmel H.S. (IN),23,38,34,13,11,29,48,4,21,38,19,4,11,32,14,10,34,1,41,33,35,8,13,17,34,30
42,Iolani School (HI),3,16,13,26,23,27,28,43,1,4,4,45,7,28,30,16,22,12,13,39,34,53,29,1,4,61
17,Boca Raton Community H.S. (FL),13,10,17,39,55,16,32,9,38,36,37,37,25,27,19,2,2,30,56,6,2,3,23,40,22,21
21,Ladue Horton Watkins H.S. (MO),18,7,20,24,20,28,43,16,9,41,7,40,42,21,21,36,35,17,2,35,44,16,7,32,43,39
24,Menomonie H.S. (WI),4,26,25,51,52,8,29,19,25,54,18,19,33,31,23,29,5,11,5,19,26,23,15,10,15,24
8,Troy H.S. (MI),9,41,4,7,41,14,44,27,43,33,6,36,8,37,17,31,29,38,39,11,9,24,5,21,7,61
2,Ward Melville H.S. (NY),29,37,24,35,8,11,1,18,8,44,31,23,22,13,27,39,28,5,58,37,18,19,52,14,11,8
15,Brookwood H.S. (GA),24,36,32,18,27,26,31,6,34,25,35,31,23,10,16,8,20,33,21,36,39,35,25,20,19,5
22,The Pembroke Hill School (MO),35,28,46,20,5,4,11,40,20,21,34,33,39,18,31,21,40,39,34,24,40,18,40,7,61,29
29,Lincoln Southwest H.S. (NE),31,4,41,33,17,45,36,23,33,20,40,24,30,29,25,15,26,41,18,16,53,43,19,26,61,28
34,Russell H.S. (KY),25,49,43,44,19,48,19,17,24,22,51,34,38,26,33,37,10,44,1,21,32,22,6,39,31,35
27,Bothell H.S. (WA),30,32,14,48,47,42,9,10,41,28,30,39,41,39,39,18,41,28,27,22,17,14,9,23,17,34
36,The Charter School of Wilmington (DE),40,42,1,30,29,32,12,56,42,6,28,41,20,19,10,23,37,13,55,38,16,46,33,61,61,61
5,Enloe Magnet H.S. (NC),26,18,31,15,15,2,21,30,22,49,32,12,13,41,45,42,24,57,33,27,49,42,27,2,26,12
